Taxonomy,Field,sub-field
Life Sciences,Cell and Developmental Biology,"['Anatomy', 'Cancer Biology', 'Cell Biology', 'Developmental Biology']"
Life Sciences,Ecology and Evolutionary Biology,"['Behavior and Ethology', 'Biogeochemistry', 'Botany', 'Evolution', 'Invasion Biology', 'Population Biology', 'Terrestrial and Aquatic Ecology']"
Life Sciences,Entomology Food Science,"['Food Biotechnology', 'Food Chemistry', 'Food Microbiology', 'Food Processing']"
Life Sciences,Forestry and Forest Sciences,"['Forest Biology', 'Forest Management', 'Wood Science and Pulp/Paper Technology']"
Life Sciences,Genetics and Genomics,"['Computational Biology', 'Genetics', 'Genomics', 'Molecular Genetics']"
Life Sciences,Immunology and Infectious Disease,"['Immunity', 'Immunology of Infectious Disease', 'Immunopathology', 'Immunoprophylaxis and Therapy', 'Parasitology', 'Pathology']"
Life Sciences,Medicine,"['Anaesthesiology', 'Biogerontology and Geriatric Medicine', 'Cardiac and Vascular Surgery', 'Cardiology, Angiology', 'Clinical Immunology and Allergology', 'Clinical Infectiology and Tropical Medicine', 'Dentistry, Oral Surgery', 'Dermatology', 'Epidemiology and Medical Biometry/Statistics', 'Gastroenterology', 'General and Visceral Surgery', 'Gynaecology and Obstetrics', 'Hematology, Oncology', 'Human Genetics', 'Medical Informatics and Medical Bioinformatics', 'Medical Physics, Biomedical Technology', 'Nephrology', 'Nutritional Sciences', 'Orthopaedics, Traumatology, Reconstructive Surgery', 'Otolaryngology', 'Pediatric and Adolescent Medicine', 'Pharmacy', 'Pneumology, Thoracic Surgery', 'Public Health, Health Services Research, Social Medicine', 'Radiology, Nuclear Medicine, Radiotherapy, Radiobiology', 'Reproductive Medicine, Urology', 'Rheumatology']"
Life Sciences,Microbiology,"['Bacteriology', 'Environmental Microbiology and Microbial Ecology', 'Medical Microbiology and Mycology, Hygiene, Molecular Infection Biology', 'Metabolism, Biochemistry and Genetics of Microorganisms', 'Microbial Ecology and Applied Microbiology', 'Microbial Physiology', 'Pathogenic Microbiology', 'Virology']"
Life Sciences,Neuroscience and Neurobiology,"['Behavioral Neurobiology', 'Biological Psychiatry', 'Clinical Neurology; Neurosurgery and Neuroradiology', 'Clinical Psychiatry, Psychotherapy, Child and Adolescent Psychiatry', 'Cognitive Neuroscience', 'Computational Neuroscience', 'Developmental Neurobiology', 'Developmental Neuroscience', 'Experimental Models for the Understanding of Nervous System Diseases', 'Experimental and Theoretical Network Neuroscience', 'Molecular and Cellular Neurology and Neuropathology', 'Molecular and Cellular Neuroscience', 'Ophthalmology', 'Systems Neuroscience']"
Life Sciences,"Nursing Pharmacology, Toxicology and Environmental Health","['Environmental Health', 'Medicinal Chemistry and Pharmaceutics', 'Pharmacology', 'Toxicology']"
Life Sciences,Nutrition,"['Comparative Nutrition', 'Human and Clinical Nutrition', 'International and Community Nutrition', 'Molecular, Genetic, and Biochemical Nutrition', 'Nutritional Epidemiology']"
Life Sciences,Physiology,"['Cellular and Molecular Physiology', 'Comparative and Evolutionary Physiology', 'Endocrinology', 'Exercise Physiology', 'Systems and Integrative Physiology']"
Life Sciences,Plant Sciences,"['Agronomy and Crop Sciences', 'Botany', 'Ecology and Biodiversity of Plants and Ecosystems', 'Evolution and Systematics of Plants and Fungi', 'Horticulture', 'Organismic Interactions, Chemical Ecology and Microbiomes of Plant Systems', 'Plant Biochemistry and Biophysics', 'Plant Biology', 'Plant Breeding and Genetics', 'Plant Cell and Developmental Biology', 'Plant Genetics', 'Plant Pathology', 'Plant Physiology']"
Life Sciences,Public Health,"['Biostatistics', 'Environmental Health', 'Epidemiology']"
Life Sciences,Systems Biology,[]
